Follower Account,Follower Name,Following Account,Following Name
melissawebb02,Melissa Webb,Melissa Webb,melissawebb02
traceylaub,Tracey,Tracey,traceylaub
leander_tuk,Leander Tukker,Leander Tukker,leander_tuk
pssymessiah1980,Sherry Collins,Sherry Collins,pssymessiah1980
neko_senpai.wc,George,George,neko_senpai.wc
veganhinjew613,Navesh Sen Singh,Vandana Morar Chirkoot,vandanamorar
vandanamorar,Vandana Morar Chirkoot,🌸Yolanda Nieman🌸,fit_blondi
bronwen.mumjiev,Bronwen,Yorishma Maharaj,yorishma
fit_blondi,🌸Yolanda Nieman🌸,Bongi,bongi261
yorishma,Yorishma Maharaj,Dmugnani,dmugnani
bongi261,Bongi,Otlaabusa Buseh Motsie,mr_motsie_bobcity
dmugnani,Dmugnani,Roye Matthew,royesm
mr_motsie_bobcity,Otlaabusa Buseh Motsie,LIBERTY,liberty_escobar
royesm,Roye Matthew,Upasya Bechan,upasya_b
liberty_escobar,LIBERTY,Louise McLeod,lifeaslou
upasya_b,Upasya Bechan,Sam,samisthelimit
lifeaslou,Louise McLeod,k.t.malakou,k.t.malakou
officialkelello,Kelello,Carmen Johsnon,carmenj.johnson23
samisthelimit,Sam,Nicole Glockle,nicoleglockle
k.t.malakou,k.t.malakou,Follow,atlanticrobyn
carmenj.johnson23,Carmen Johsnon,Buti Moeketsi,moeketsibuti
nicoleglockle,Nicole Glockle,Bronwen,bronwen.mumjiev
atlanticrobyn,Follow,T a n e a l 🍃,taneal_cooper
moeketsibuti,Buti Moeketsi,Mariuxi Lange Saenz,ixilange
sabelotk,Sabelo Khanyile,Bernard van Tonder,bernardvantonder
bernardvantonder,Bernard van Tonder,Lebogang Monaisa,lebogangmonaisa
vegan.vendors,Vegan,Florian,flo_rup
nucibellababe,Dimee,Dimee,nucibellababe
caseykorck,Casey Korck,Casey Korck,caseykorck
iammilisa,Milisa,Milisa,iammilisa
gschroeder17,Gabi Schroeder,Thato Nzimande,nzimandethato
thestrawberrivegan,Heila,Amy Jay,amyjaywill
mike_r_john,Michael Johnson,Heila,thestrawberrivegan
the_only_mermaid1,Lauren🐚🧜🏻‍♀️,Michael Johnson,mike_r_john
flavourzindiamelville,Vegan Market,Gabi Schroeder,gschroeder17
moonbeammirror,Nander,Lauren🐚🧜🏻‍♀️,the_only_mermaid1
biancao1,Bianca Alexander,Bianca Alexander,biancao1
amyjaywill,Amy Jay,Tamsyn Jade Maré,tammyjadels
tammyjadels,Tamsyn Jade Maré,Camilla Kontominas,camilla3589
nzimandethato,Thato Nzimande,Vegan Market,flavourzindiamelville
camilla3589,Camilla Kontominas,Fruit Farm SA,fruitfarmsa
klaralootssa,Klara Loots,Roche Fourie,fourie.roche
twiinsferments,Twiins Ferments,Richie,tht._.gyal._.richie._
aveganinafrica,A Vegan in Africa,Keshava Sankara Nair,nairkeshava
fruitfarmsa,Fruit Farm SA,Terri,terribroom
fourie.roche,Roche Fourie,Shay G,shay_ganesh
tht._.gyal._.richie._,Richie,Kubashini Perumal,kubashini_perumal
